Red Corner,Blue Corner,Weight Class,Title Fight,Result,Round,Time,Method,Red Corner Bonus Award,Blue Corner Bonus Award,Red Corner Country,Blue Corner Country,Red Corner Odds,Blue Corner Odds
TYSON GRIFFIN,GLEISON TIBAU,LIGHTWEIGHT,NO TITLE,WINNER: GLEISON TIBAU,3,5:00,DECISION - UNANIMOUS,-,-,-,BRAZIL,-,-
CHRIS LYTLE,KYLE BRADLEY,WELTERWEIGHT,NO TITLE,WINNER: CHRIS LYTLE,1,0:33,KO/TKO,-,-,-,-,-,-
MARVIN EASTMAN,TERRY MARTIN,MIDDLEWEIGHT,NO TITLE,WINNER: MARVIN EASTMAN,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
TIM BOETSCH,DAVID HEATH,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: DAVID HEATH,1,4:52,KO/TKO,-,-,UNITED STATES,-,-,-
ROB EMERSON,KEITA NAKAMURA,LIGHTWEIGHT,NO TITLE,WINNER: KEITA NAKAMURA,3,5:00,DECISION - SPLIT,-,-,-,-,-,-
ANDERSON SILVA,DAN HENDERSON,MIDDLEWEIGHT,TITLE,WINNER: ANDERSON SILVA,2,4:52,SUBMISSION,-,-,BRAZIL,-,-,-
HEATH HERRING,CHEICK KONGO,HEAVYWEIGHT,NO TITLE,WINNER: HEATH HERRING,3,5:00,DECISION - SPLIT,-,-,-,-,-,-
CHRIS LEBEN,ALESSIO SAKARA,MIDDLEWEIGHT,NO TITLE,WINNER: ALESSIO SAKARA,1,3:16,KO/TKO,-,-,-,-,-,-
YUSHIN OKAMI,EVAN TANNER,MIDDLEWEIGHT,NO TITLE,WINNER: YUSHIN OKAMI,2,3:00,KO/TKO,-,-,-,-,-,-
JON FITCH,CHRIS WILSON,WELTERWEIGHT,NO TITLE,WINNER: CHRIS WILSON,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
ANDREI ARLOVSKI,JAKE O'BRIEN,HEAVYWEIGHT,NO TITLE,WINNER: JAKE O'BRIEN,2,4:17,KO/TKO,-,-,UNITED STATES,-,-,-
LUIGI FIORAVANTI,LUKE CUMMO,WELTERWEIGHT,NO TITLE,WINNER: LUIGI FIORAVANTI,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
JOSH KOSCHECK,DUSTIN HAZELETT,WELTERWEIGHT,NO TITLE,WINNER: DUSTIN HAZELETT,2,1:24,KO/TKO,-,-,-,-,-,-
DIEGO SANCHEZ,DAVID BIELKHEDEN,WELTERWEIGHT,NO TITLE,WINNER: DAVID BIELKHEDEN,1,4:43,KO/TKO,-,-,UNITED STATES,-,-,-
JORGE GURGEL,JOHN HALVERSON,LIGHTWEIGHT,NO TITLE,WINNER: JOHN HALVERSON,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
KENNY FLORIAN,JOE LAUZON,LIGHTWEIGHT,NO TITLE,WINNER: KENNY FLORIAN,2,3:28,KO/TKO,-,-,-,UNITED STATES,-,-
GRAY MAYNARD,FRANKIE EDGAR,LIGHTWEIGHT,NO TITLE,WINNER: GRAY MAYNARD,3,5:00,DECISION - UNANIMOUS,-,-,UNITED STATES,UNITED STATES,-,-
THIAGO ALVES,KARO PARISYAN,WELTERWEIGHT,NO TITLE,WINNER: THIAGO ALVES,2,0:24,KO/TKO,-,-,BRAZIL,-,-,-
MATT HAMILL,TIM BOETSCH,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: MATT HAMILL,2,1:25,KO/TKO,-,-,-,UNITED STATES,-,-
NATE DIAZ,KURT PELLEGRINO,LIGHTWEIGHT,NO TITLE,WINNER: NATE DIAZ,2,3:06,SUBMISSION,-,-,UNITED STATES,-,-,-
JAMES IRVIN,HOUSTON ALEXANDER,LIGHT HEAVYWEIGHT,NO TITLE,WINNER: JAMES IRVIN,1,0:08,KO/TKO,-,-,-,-,-,-
JOSH NEER,DIN THOMAS,LIGHTWEIGHT,NO TITLE,WINNER: JOSH NEER,3,5:00,DECISION - UNANIMOUS,-,-,-,-,-,-
MARCUS AURELIO,N/A,LIGHTWEIGHT,NO TITLE,WINNER: MARCUS AURELIO,1,0:16,SUBMISSION,-,-,-,-,-,-
MANNY GAMBURYAN,JEFF COX,LIGHTWEIGHT,NO TITLE,WINNER: MANNY GAMBURYAN,1,1:41,SUBMISSION,-,-,-,-,-,-
CLAY GUIDA,SAMY SCHIAVO,LIGHTWEIGHT,NO TITLE,WINNER: CLAY GUIDA,1,4:15,KO/TKO,-,-,UNITED STATES,-,-,-
GEORGE SOTIROPOULOS,ROMAN MITICHYAN,WELTERWEIGHT,NO TITLE,WINNER: GEORGE SOTIROPOULOS,2,2:24,KO/TKO,-,-,-,-,-,-
